Percentile threshold,engine_id,Horizon,Failure cycle,First persistent alert cycle,Lead time,Missed warning,Late-warning delay,Early-warning burden,Persistence rule
0.95,13,30,163,103,60,0,0,30,2-of-3
0.95,16,30,209,5,204,0,0,174,2-of-3
0.95,19,30,158,52,106,0,0,76,2-of-3
0.95,23,30,168,88,80,0,0,50,2-of-3
0.95,27,30,156,89,67,0,0,37,2-of-3
0.95,32,30,191,27,164,0,0,134,2-of-3
0.95,41,30,216,150,66,0,0,36,2-of-3
0.95,46,30,256,208,48,0,0,18,2-of-3
0.95,54,30,257,175,82,0,0,52,2-of-3
0.95,56,30,275,50,225,0,0,195,2-of-3
0.95,71,30,208,126,82,0,0,52,2-of-3
0.95,73,30,213,6,207,0,0,177,2-of-3
0.95,81,30,240,152,88,0,0,58,2-of-3
0.95,89,30,217,3,214,0,0,184,2-of-3
0.95,91,30,135,7,128,0,0,98,2-of-3
0.975,13,30,163,103,60,0,0,30,2-of-3
0.975,16,30,209,63,146,0,0,116,2-of-3
0.975,19,30,158,54,104,0,0,74,2-of-3
0.975,23,30,168,102,66,0,0,36,2-of-3
0.975,27,30,156,97,59,0,0,29,2-of-3
0.975,32,30,191,93,98,0,0,68,2-of-3
0.975,41,30,216,163,53,0,0,23,2-of-3
0.975,46,30,256,212,44,0,0,14,2-of-3
0.975,54,30,257,205,52,0,0,22,2-of-3
0.975,56,30,275,155,120,0,0,90,2-of-3
0.975,71,30,208,135,73,0,0,43,2-of-3
0.975,73,30,213,6,207,0,0,177,2-of-3
0.975,81,30,240,168,72,0,0,42,2-of-3
0.975,89,30,217,173,44,0,0,14,2-of-3
0.975,91,30,135,7,128,0,0,98,2-of-3
0.99,13,30,163,110,53,0,0,23,2-of-3
0.99,16,30,209,73,136,0,0,106,2-of-3
0.99,19,30,158,81,77,0,0,47,2-of-3
0.99,23,30,168,102,66,0,0,36,2-of-3
0.99,27,30,156,97,59,0,0,29,2-of-3
0.99,32,30,191,104,87,0,0,57,2-of-3
0.99,41,30,216,169,47,0,0,17,2-of-3
0.99,46,30,256,217,39,0,0,9,2-of-3
0.99,54,30,257,205,52,0,0,22,2-of-3
0.99,56,30,275,155,120,0,0,90,2-of-3
0.99,71,30,208,147,61,0,0,31,2-of-3
0.99,73,30,213,62,151,0,0,121,2-of-3
0.99,81,30,240,170,70,0,0,40,2-of-3
0.99,89,30,217,176,41,0,0,11,2-of-3
0.99,91,30,135,61,74,0,0,44,2-of-3
0.995,13,30,163,111,52,0,0,22,2-of-3
0.995,16,30,209,121,88,0,0,58,2-of-3
0.995,19,30,158,81,77,0,0,47,2-of-3
0.995,23,30,168,102,66,0,0,36,2-of-3
0.995,27,30,156,103,53,0,0,23,2-of-3
0.995,32,30,191,120,71,0,0,41,2-of-3
0.995,41,30,216,169,47,0,0,17,2-of-3
0.995,46,30,256,217,39,0,0,9,2-of-3
0.995,54,30,257,206,51,0,0,21,2-of-3
0.995,56,30,275,167,108,0,0,78,2-of-3
0.995,71,30,208,148,60,0,0,30,2-of-3
0.995,73,30,213,100,113,0,0,83,2-of-3
0.995,81,30,240,176,64,0,0,34,2-of-3
0.995,89,30,217,176,41,0,0,11,2-of-3
0.995,91,30,135,75,60,0,0,30,2-of-3
