Model,RUL region,Samples,Median_percentile,Mean_percentile,Anomaly_rate
Isolation Forest,RUL 0–15,240,1.0,1.0,1.0
Isolation Forest,RUL 16–30,225,1.0,0.9999767195767195,1.0
Isolation Forest,RUL 31–60,450,0.9995238095238095,0.9856486772486772,0.8044444444444444
Isolation Forest,RUL 61–90,450,0.9457142857142857,0.8543566137566138,0.2911111111111111
Isolation Forest,RUL 91–125,525,0.7880952380952381,0.6945904761904762,0.10666666666666667
Isolation Forest,RUL > 125,1172,0.6023809523809524,0.5684133755891435,0.015358361774744027
Local Outlier Factor,RUL 0–15,240,1.0,1.0,1.0
Local Outlier Factor,RUL 16–30,225,1.0,0.9999068783068783,1.0
Local Outlier Factor,RUL 31–60,450,0.9995238095238095,0.9775248677248677,0.8555555555555555
Local Outlier Factor,RUL 61–90,450,0.9559523809523809,0.8429492063492063,0.38222222222222224
Local Outlier Factor,RUL 91–125,525,0.7619047619047619,0.6842757369614513,0.08761904761904762
Local Outlier Factor,RUL > 125,1172,0.5788095238095238,0.5561904761904761,0.016211604095563138
One-Class SVM,RUL 0–15,240,1.0,1.0,1.0
One-Class SVM,RUL 16–30,225,1.0,0.9999936507936509,1.0
One-Class SVM,RUL 31–60,450,1.0,0.9804391534391534,0.8888888888888888
One-Class SVM,RUL 61–90,450,0.9833333333333334,0.842247619047619,0.4688888888888889
One-Class SVM,RUL 91–125,525,0.7638095238095238,0.6687229024943311,0.14666666666666667
One-Class SVM,RUL > 125,1172,0.5569047619047619,0.5373602307817325,0.034129692832764506
PCA Reconstruction,RUL 0–15,240,0.8019047619047619,0.6734781746031746,0.2833333333333333
PCA Reconstruction,RUL 16–30,225,0.7123809523809523,0.6525015873015874,0.08444444444444445
PCA Reconstruction,RUL 31–60,450,0.594047619047619,0.5744539682539682,0.03333333333333333
PCA Reconstruction,RUL 61–90,450,0.5333333333333333,0.5253650793650794,0.011111111111111112
PCA Reconstruction,RUL 91–125,525,0.5433333333333333,0.5183138321995465,0.011428571428571429
PCA Reconstruction,RUL > 125,1172,0.4838095238095238,0.5018389403542988,0.00938566552901024
