Artifact,Relative path,Filename,Size bytes,Size MB,SHA256
anomaly_model,artifacts/models/fd001_isolation_forest.joblib,fd001_isolation_forest.joblib,957956,0.9135780334472656,8d3ea928886976fbbc80b6c87bcd59f090efb89817407177288af4b58b8a9d8c
classifier_10,artifacts/models/fd001_failure_10_classifier.joblib,fd001_failure_10_classifier.joblib,135683,0.12939739227294922,756cca5902e546d457b79bdde7e56bead4521f6a7b4c26a3b7e955d5d3be1948
classifier_30,artifacts/models/fd001_failure_30_classifier.joblib,fd001_failure_30_classifier.joblib,134146,0.1279315948486328,fe8ffeb1b715b21ec5a165a83a143316fc6c656632c8d9f4593b90010155235f
classifier_20,artifacts/models/fd001_failure_20_classifier.joblib,fd001_failure_20_classifier.joblib,134141,0.12792682647705078,68b15fe44ac6bfa35f77667a31db36e689b6cfebff223525f816ca78bcc93d24
anomaly_reference_scores,artifacts/reference/fd001_anomaly_healthy_raw_scores.npy,fd001_anomaly_healthy_raw_scores.npy,16928,0.016143798828125,c18a906fd34417c77bc9b9bc3139092d7943add59d3a607bb9bed2149a1b39ea
rul_full_train_model,artifacts/models/fd001_rul_regressor_full_train.joblib,fd001_rul_regressor_full_train.joblib,6988,0.006664276123046875,eed115f5956698507c2ab00d9231f23fbe0fe979a6ca66b2995722d671d924b7
rul_evaluation_model,artifacts/models/fd001_rul_regressor_evaluation.joblib,fd001_rul_regressor_evaluation.joblib,6987,0.006663322448730469,4fa0f908ab0b78bd45f5956881be932f1e5405884385ebe22a5c39c8db6bf85c
feature_schema,artifacts/metadata/fd001_feature_schema.json,fd001_feature_schema.json,5059,0.004824638366699219,98b2804d69250a19514063dd72521cd87281a5905aff3ebd8bac4441d2719120
decision_policy_config,artifacts/thresholds/fd001_decision_policy.json,fd001_decision_policy.json,819,0.0007810592651367188,f2316f067555cbc6a0387b45314040ee6db4b541da9e3a9a2e39745a91912b8f
conformal_config,artifacts/thresholds/fd001_conformal_config.json,fd001_conformal_config.json,533,0.0005083084106445312,7fb3e84323c5ae6bc9770663c5c316693ced56e0c30827e1cd1aabc376566472
classification_config,artifacts/thresholds/fd001_classification_config.json,fd001_classification_config.json,531,0.0005064010620117188,6c6b876901daf381e475b4235dac41cfe547a24a6cbf1e1739c85cb2fe0f528d
anomaly_config,artifacts/thresholds/fd001_anomaly_config.json,fd001_anomaly_config.json,453,0.00043201446533203125,9c070bd5a8e0eb5f90bca6a5149be494027155dbc59420d14297ca11652fc4dd
