Model,Horizon,Threshold,Samples,Positive rate,Predicted positive rate,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,True negatives,False positives,False negatives,True positives,F2
Calibrated Logistic,10,0.05,3062,0.05388634879163945,0.10091443500979752,0.952971913781842,0.5339805825242718,1.0,0.6962025316455697,0.9981161284923799,0.9693729949278823,2753,144,0,165,0.8513931888544892
Calibrated Logistic,10,0.06,3062,0.05388634879163945,0.09797517962116264,0.9559111691704768,0.55,1.0,0.7096774193548387,0.9981161284923799,0.9693729949278823,2762,135,0,165,0.859375
Calibrated Logistic,10,0.07,3062,0.05388634879163945,0.09634225996080993,0.9575440888308295,0.559322033898305,1.0,0.717391304347826,0.9981161284923799,0.9693729949278823,2767,130,0,165,0.8638743455497382
Calibrated Logistic,10,0.08,3062,0.05388634879163945,0.09111691704768125,0.9627694317439582,0.5913978494623656,1.0,0.7432432432432432,0.9981161284923799,0.9693729949278823,2783,114,0,165,0.8785942492012779
Calibrated Logistic,10,0.09,3062,0.05388634879163945,0.08850424559111691,0.9653821032005225,0.6088560885608856,1.0,0.7568807339449541,0.9981161284923799,0.9693729949278823,2791,106,0,165,0.8861439312567132
Calibrated Logistic,10,0.1,3062,0.05388634879163945,0.08621815806662313,0.9676681907250163,0.625,1.0,0.7692307692307693,0.9981161284923799,0.9693729949278823,2798,99,0,165,0.8928571428571429
Calibrated Logistic,10,0.11,3062,0.05388634879163945,0.08491182233834095,0.9689745264532985,0.6346153846153846,1.0,0.7764705882352941,0.9981161284923799,0.9693729949278823,2802,95,0,165,0.8967391304347826
Calibrated Logistic,10,0.12,3062,0.05388634879163945,0.08360548661005879,0.9702808621815807,0.64453125,1.0,0.7838479809976246,0.9981161284923799,0.9693729949278823,2806,91,0,165,0.9006550218340611
Calibrated Logistic,10,0.13,3062,0.05388634879163945,0.08262573481384716,0.9712606139777923,0.6521739130434783,1.0,0.7894736842105263,0.9981161284923799,0.9693729949278823,2809,88,0,165,0.9036144578313253
Calibrated Logistic,10,0.14,3062,0.05388634879163945,0.08131939908556499,0.9725669497060745,0.6626506024096386,1.0,0.7971014492753623,0.9981161284923799,0.9693729949278823,2813,84,0,165,0.9075907590759077
Calibrated Logistic,10,0.15,3062,0.05388634879163945,0.08099281515349445,0.972893533638145,0.6653225806451613,1.0,0.7990314769975787,0.9981161284923799,0.9693729949278823,2814,83,0,165,0.908590308370044
Calibrated Logistic,10,0.16,3062,0.05388634879163945,0.08001306335728282,0.9738732854343566,0.673469387755102,1.0,0.8048780487804879,0.9981161284923799,0.9693729949278823,2817,80,0,165,0.9116022099447514
