engine_id,Samples,Coverage,Average_width,Median_width,Lower_misses,Upper_misses,Minimum_RUL,Maximum_RUL
84,267,0.5093632958801498,101.4187020470285,111.96305609050319,0,131,0,266
70,137,0.635036496350365,109.37124777646504,111.96305609050319,50,0,0,136
5,269,0.8921933085501859,105.29852090110182,111.96305609050319,0,29,0,268
45,158,0.9430379746835443,107.9967729723707,111.96305609050319,9,0,0,157
74,166,0.9879518072289156,106.90696765461976,111.96305609050319,2,0,0,165
1,192,0.9947916666666666,105.9324727840252,111.96305609050319,1,0,0,191
97,202,0.995049504950495,105.00854573748697,111.96305609050319,1,0,0,201
10,222,1.0,105.84928136950911,111.96305609050319,0,0,0,221
11,240,1.0,105.33521242759147,111.96305609050319,0,0,0,239
31,234,1.0,105.85636362245813,111.96305609050319,0,0,0,233
34,195,1.0,104.15594592750143,111.96305609050319,0,0,0,194
40,188,1.0,103.15968955009907,111.96305609050319,0,0,0,187
43,207,1.0,105.87302240701564,111.96305609050319,0,0,0,206
77,154,1.0,107.25852252324404,111.96305609050319,0,0,0,153
78,231,1.0,106.08823485818536,111.96305609050319,0,0,0,230
