engine_id,Horizon,Failure cycle,First persistent alert cycle,Lead time,Missed warning,Late-warning delay,Early-warning burden,Persistence rule,Dataset
13,10,163,154,9,0,1,0,2-of-3,Validation
16,10,209,191,18,0,0,8,2-of-3,Validation
19,10,158,146,12,0,0,2,2-of-3,Validation
23,10,168,160,8,0,2,0,2-of-3,Validation
27,10,156,143,13,0,0,3,2-of-3,Validation
32,10,191,174,17,0,0,7,2-of-3,Validation
41,10,216,206,10,0,0,0,2-of-3,Validation
46,10,256,247,9,0,1,0,2-of-3,Validation
54,10,257,246,11,0,0,1,2-of-3,Validation
56,10,275,256,19,0,0,9,2-of-3,Validation
71,10,208,196,12,0,0,2,2-of-3,Validation
73,10,213,203,10,0,0,0,2-of-3,Validation
81,10,240,233,7,0,3,0,2-of-3,Validation
89,10,217,206,11,0,0,1,2-of-3,Validation
91,10,135,124,11,0,0,1,2-of-3,Validation
13,20,163,140,23,0,0,3,2-of-3,Validation
16,20,209,171,38,0,0,18,2-of-3,Validation
19,20,158,135,23,0,0,3,2-of-3,Validation
23,20,168,150,18,0,2,0,2-of-3,Validation
27,20,156,137,19,0,1,0,2-of-3,Validation
32,20,191,163,28,0,0,8,2-of-3,Validation
41,20,216,189,27,0,0,7,2-of-3,Validation
46,20,256,239,17,0,3,0,2-of-3,Validation
54,20,257,235,22,0,0,2,2-of-3,Validation
56,20,275,232,43,0,0,23,2-of-3,Validation
71,20,208,183,25,0,0,5,2-of-3,Validation
73,20,213,176,37,0,0,17,2-of-3,Validation
81,20,240,213,27,0,0,7,2-of-3,Validation
89,20,217,199,18,0,2,0,2-of-3,Validation
91,20,135,111,24,0,0,4,2-of-3,Validation
13,30,163,136,27,0,3,0,2-of-3,Validation
16,30,209,168,41,0,0,11,2-of-3,Validation
19,30,158,119,39,0,0,9,2-of-3,Validation
23,30,168,124,44,0,0,14,2-of-3,Validation
27,30,156,124,32,0,0,2,2-of-3,Validation
32,30,191,142,49,0,0,19,2-of-3,Validation
41,30,216,186,30,0,0,0,2-of-3,Validation
46,30,256,219,37,0,0,7,2-of-3,Validation
54,30,257,218,39,0,0,9,2-of-3,Validation
56,30,275,222,53,0,0,23,2-of-3,Validation
71,30,208,174,34,0,0,4,2-of-3,Validation
73,30,213,156,57,0,0,27,2-of-3,Validation
81,30,240,204,36,0,0,6,2-of-3,Validation
89,30,217,185,32,0,0,2,2-of-3,Validation
91,30,135,101,34,0,0,4,2-of-3,Validation
1,10,192,188,4,0,6,0,2-of-3,Internal test
5,10,269,253,16,0,0,6,2-of-3,Internal test
10,10,222,215,7,0,3,0,2-of-3,Internal test
11,10,240,235,5,0,5,0,2-of-3,Internal test
31,10,234,226,8,0,2,0,2-of-3,Internal test
34,10,195,186,9,0,1,0,2-of-3,Internal test
40,10,188,173,15,0,0,5,2-of-3,Internal test
43,10,207,194,13,0,0,3,2-of-3,Internal test
45,10,158,148,10,0,0,0,2-of-3,Internal test
70,10,137,126,11,0,0,1,2-of-3,Internal test
74,10,166,156,10,0,0,0,2-of-3,Internal test
77,10,154,146,8,0,2,0,2-of-3,Internal test
78,10,231,223,8,0,2,0,2-of-3,Internal test
84,10,267,256,11,0,0,1,2-of-3,Internal test
97,10,202,191,11,0,0,1,2-of-3,Internal test
1,20,192,174,18,0,2,0,2-of-3,Internal test
5,20,269,243,26,0,0,6,2-of-3,Internal test
10,20,222,197,25,0,0,5,2-of-3,Internal test
11,20,240,220,20,0,0,0,2-of-3,Internal test
31,20,234,220,14,0,6,0,2-of-3,Internal test
34,20,195,172,23,0,0,3,2-of-3,Internal test
40,20,188,157,31,0,0,11,2-of-3,Internal test
43,20,207,189,18,0,2,0,2-of-3,Internal test
45,20,158,140,18,0,2,0,2-of-3,Internal test
70,20,137,115,22,0,0,2,2-of-3,Internal test
74,20,166,142,24,0,0,4,2-of-3,Internal test
77,20,154,132,22,0,0,2,2-of-3,Internal test
78,20,231,212,19,0,1,0,2-of-3,Internal test
84,20,267,245,22,0,0,2,2-of-3,Internal test
97,20,202,183,19,0,1,0,2-of-3,Internal test
1,30,192,153,39,0,0,9,2-of-3,Internal test
5,30,269,240,29,0,1,0,2-of-3,Internal test
10,30,222,189,33,0,0,3,2-of-3,Internal test
11,30,240,206,34,0,0,4,2-of-3,Internal test
31,30,234,199,35,0,0,5,2-of-3,Internal test
34,30,195,160,35,0,0,5,2-of-3,Internal test
40,30,188,149,39,0,0,9,2-of-3,Internal test
43,30,207,170,37,0,0,7,2-of-3,Internal test
45,30,158,134,24,0,6,0,2-of-3,Internal test
70,30,137,98,39,0,0,9,2-of-3,Internal test
74,30,166,136,30,0,0,0,2-of-3,Internal test
77,30,154,126,28,0,2,0,2-of-3,Internal test
78,30,231,206,25,0,5,0,2-of-3,Internal test
84,30,267,207,60,0,0,30,2-of-3,Internal test
97,30,202,177,25,0,5,0,2-of-3,Internal test
