,n_unique,minimum,maximum,mean,standard_deviation,variance,range,is_constant
operational_setting_1,155,-0.0087,0.0087,-6.252154132487765e-06,0.0021902020221767375,4.79698489794707e-06,0.0174,False
operational_setting_2,13,-0.0006,0.0006,1.7301992141724685e-06,0.00029293422931618725,8.581046270506856e-08,0.0012,False
operational_setting_3,1,100.0,100.0,100.0,0.0,0.0,0.0,True
sensor_1,1,518.67,518.67,518.6700000000001,1.1369075626837193e-13,1.292558806087435e-26,0.0,True
sensor_2,300,641.21,644.53,642.67364789412,0.4960753841992519,0.2460907868084354,3.3199999999999363,False
sensor_3,2814,1571.06,1616.91,1590.4579072172055,6.084195212554366,37.017431384469475,45.850000000000136,False
sensor_4,3789,1385.19,1441.49,1408.8111394499206,8.97067749079929,80.47305464393303,56.299999999999955,False
sensor_5,1,14.62,14.62,14.620000000000001,1.7764180666933114e-15,3.1556611476744016e-30,0.0,True
sensor_6,2,21.6,21.61,21.6098076790515,0.0013734453641554886,1.8863521683202026e-06,0.00999999999999801,False
sensor_7,499,549.85,556.06,553.3822216860826,0.8775102376749967,0.7700242172244293,6.209999999999923,False
sensor_8,52,2387.9,2388.56,2388.095507685945,0.07105143646936847,0.005048306624360704,0.6599999999998545,False
sensor_9,5549,9021.73,9244.59,9065.438290480457,22.564435047108283,509.15372899516854,222.86000000000058,False
sensor_10,1,1.3,1.3,1.3,0.0,0.0,0.0,True
sensor_11,155,46.85,48.52,47.53717171020887,0.26614409620382723,0.07083267994415204,1.6700000000000017,False
sensor_12,424,518.69,523.38,521.4260405321569,0.7344814258057536,0.5394629648536527,4.689999999999941,False
sensor_13,55,2387.88,2388.56,2388.09503756807,0.07220849607282247,0.005214066905098817,0.6799999999998363,False
sensor_14,5304,8099.94,8293.72,8143.969999310678,19.557189692845032,382.48366868192403,193.77999999999975,False
sensor_15,1839,8.3358,8.5848,8.441682063831253,0.037424261244896256,0.001400575329726244,0.24899999999999878,False
sensor_16,1,0.03,0.03,0.03000000000000001,1.0408699609531121e-17,1.0834102756145331e-34,0.0,True
sensor_17,12,388.0,399.0,393.1987316467912,1.5440152037085393,2.383982949283122,11.0,False
sensor_18,1,2388.0,2388.0,2388.0,0.0,0.0,0.0,True
sensor_19,1,100.0,100.0,100.0,0.0,0.0,0.0,True
sensor_20,115,38.14,39.41,38.81939960019301,0.17923337183648586,0.032124601579876,1.269999999999996,False
sensor_21,4342,22.8942,23.6184,23.29151374508858,0.10751789987508834,0.011560098793549519,0.7241999999999997,False
