Section,Dataset,Subgroup,Metric,Estimate,CI lower,CI upper,Confidence level,Unit,Note,Source file
Regression,FD001 internal test,,Late-prediction rate,0.6593729588504246,,,,,Locked training-only evaluation model,fd001_internal_test_regression_corrected.csv
Regression,FD001 internal test,,MAE,24.092042898549916,,,,cycles,Locked training-only evaluation model,fd001_internal_test_regression_corrected.csv
Regression,FD001 internal test,,NASA penalty per row,44.587494669052646,,,,,Locked training-only evaluation model,fd001_internal_test_regression_corrected.csv
Regression,FD001 internal test,,NASA score,136526.9086766392,,,,,Locked training-only evaluation model,fd001_internal_test_regression_corrected.csv
Regression,FD001 internal test,,Near-failure MAE,10.229465037499851,,,,cycles,Locked training-only evaluation model,fd001_internal_test_regression_corrected.csv
Regression,FD001 internal test,,R2,0.7714020837853605,,,,,Locked training-only evaluation model,fd001_internal_test_regression_corrected.csv
Regression,FD001 internal test,,RMSE,31.029149736874736,,,,cycles,Locked training-only evaluation model,fd001_internal_test_regression_corrected.csv
Regression uncertainty,FD001 internal test,,Late-prediction rate,0.6593729588504246,0.4864418602016013,0.8372740685964393,0.95,,Engine percentile bootstrap; 5000 bootstrap samples,fd001_internal_test_regression_ci_corrected.csv
Regression uncertainty,FD001 internal test,,MAE,24.092042898549916,17.370400783693874,31.519350629883714,0.95,,Engine percentile bootstrap; 5000 bootstrap samples,fd001_internal_test_regression_ci_corrected.csv
Regression uncertainty,FD001 internal test,,NASA penalty per row,44.587494669052646,17.50541226986114,78.45926446837643,0.95,,Engine percentile bootstrap; 5000 bootstrap samples,fd001_internal_test_regression_ci_corrected.csv
Regression uncertainty,FD001 internal test,,NASA score,136526.9086766392,54703.60779806874,239436.09781899725,0.95,,Engine percentile bootstrap; 5000 bootstrap samples,fd001_internal_test_regression_ci_corrected.csv
Regression uncertainty,FD001 internal test,,Near-failure MAE,10.229465037499851,6.804642476780426,14.488742992485816,0.95,,Engine percentile bootstrap; 5000 bootstrap samples,fd001_internal_test_regression_ci_corrected.csv
Regression uncertainty,FD001 internal test,,R2,0.7714020837853605,0.6489145208428114,0.8708181756242634,0.95,,Engine percentile bootstrap; 5000 bootstrap samples,fd001_internal_test_regression_ci_corrected.csv
Regression uncertainty,FD001 internal test,,RMSE,31.029149736874736,22.965502801484647,38.65923572789302,0.95,,Engine percentile bootstrap; 5000 bootstrap samples,fd001_internal_test_regression_ci_corrected.csv
Conformal uncertainty,FD001 internal test,95% interval,Average interval width,105.46782699960733,,,,cycles,Validation-calibrated split conformal,fd001_internal_test_conformal_summary_corrected.csv
Conformal uncertainty,FD001 internal test,95% interval,Conformal quantile,55.98152804525159,,,,cycles,Validation-calibrated split conformal,fd001_internal_test_conformal_summary_corrected.csv
Conformal uncertainty,FD001 internal test,95% interval,Empirical coverage,0.9271717831482692,,,,proportion,Validation-calibrated split conformal,fd001_internal_test_conformal_summary_corrected.csv
Conformal uncertainty,FD001 internal test,95% interval,Median interval width,111.9630560905032,,,,cycles,Validation-calibrated split conformal,fd001_internal_test_conformal_summary_corrected.csv
Conformal uncertainty,FD001 internal test,Engine bootstrap,Average interval width,105.46782699960733,104.51403247754948,106.33960585923172,0.95,,Engine percentile bootstrap; 5000 bootstrap samples,fd001_internal_test_conformal_ci_corrected.csv
Conformal uncertainty,FD001 internal test,Engine bootstrap,Average width RUL 0-30,75.58091325925996,70.66632727286053,81.09660278260826,0.95,,Engine percentile bootstrap; 5000 bootstrap samples,fd001_internal_test_conformal_ci_corrected.csv
Conformal uncertainty,FD001 internal test,Engine bootstrap,Average width RUL 31-125,109.8783578029277,108.00319552032728,111.2146398494396,0.95,,Engine percentile bootstrap; 5000 bootstrap samples,fd001_internal_test_conformal_ci_corrected.csv
Conformal uncertainty,FD001 internal test,Engine bootstrap,Average width RUL >125,111.9630560905032,111.96305609050316,111.9630560905032,0.95,,Engine percentile bootstrap; 5000 bootstrap samples,fd001_internal_test_conformal_ci_corrected.csv
Conformal uncertainty,FD001 internal test,Engine bootstrap,Coverage RUL 0-30,1.0,1.0,1.0,0.95,,Engine percentile bootstrap; 5000 bootstrap samples,fd001_internal_test_conformal_ci_corrected.csv
