Model,MAE,RMSE,R2,NASA Score,Near-failure MAE,Late prediction rate,Feature configuration,Alpha,Fit time (seconds)
Polynomial Ridge | Raw with cycle | alpha=0.01,21.846760662926915,28.633316740865464,0.8084639761512626,113766.73026197076,9.613835001413998,0.4503592423252776,Raw with cycle,0.01,0.10652850003680214
Polynomial Ridge | Raw with cycle | alpha=0.1,21.369972350621843,28.29593381860581,0.8129510758046711,118540.23205718919,8.189075503803823,0.4542782495101241,Raw with cycle,0.1,0.08746430004248396
Polynomial Ridge | Raw with cycle | alpha=1.0,21.087300385696572,28.105867095863765,0.815455490308723,135151.41676703418,7.6194313945618015,0.4490529065969954,Raw with cycle,1.0,0.10450650000711903
Polynomial Ridge | Raw with cycle | alpha=10.0,21.112588912220396,28.215479655083147,0.8140132404621573,149925.92727477802,7.837243622729091,0.4588504245591117,Raw with cycle,10.0,0.0964298999751918
Polynomial Ridge | Raw with cycle | alpha=100.0,21.172347111276075,28.321840638396697,0.8126084074093564,160960.53011549677,8.074868514071095,0.4679947746570869,Raw with cycle,100.0,0.09246199997141957
Polynomial Ridge | Raw with cycle | alpha=1000.0,21.851331428421723,29.121204313881616,0.8018811422710451,217258.89791935825,9.31893098734878,0.48889614630960154,Raw with cycle,1000.0,0.10477700002957135
Polynomial Ridge | Raw without cycle | alpha=0.01,25.7272022975021,36.28053353482158,0.6924933707101311,3951704.500689687,7.987495818440713,0.4797517962116264,Raw without cycle,0.01,0.09768910001730546
Polynomial Ridge | Raw without cycle | alpha=0.1,25.875153424565717,36.422571126883,0.6900808924363814,4170741.9567509005,7.810516840482927,0.4800783801436969,Raw without cycle,0.1,0.08347329997923225
Polynomial Ridge | Raw without cycle | alpha=1.0,27.046375478033156,37.417627594358756,0.6729157371669188,4961354.025898462,8.904190939947867,0.4853037230568256,Raw without cycle,1.0,0.1076679999823682
Polynomial Ridge | Raw without cycle | alpha=1000.0,28.442615689727404,38.55392678440552,0.6527482930633229,5089397.091984589,10.055309735478662,0.49118223383409537,Raw without cycle,1000.0,0.0917959000216797
Polynomial Ridge | Raw without cycle | alpha=100.0,28.40816647929744,38.532589660211826,0.6531325497715006,5122411.365221648,10.029572122680513,0.49118223383409537,Raw without cycle,100.0,0.10149420000379905
Polynomial Ridge | Raw without cycle | alpha=10.0,28.167428164135945,38.371617322605886,0.656024617781658,5269659.691496693,9.904179098291706,0.4915088177661659,Raw without cycle,10.0,0.08875200001057237
