,correlation_with_RUL,absolute_correlation
sensor_11,-0.6888914788832536,0.6888914788832536
sensor_4,-0.6692701651550921,0.6692701651550921
sensor_12,0.6621569714169245,0.6621569714169245
sensor_7,0.6506549174205142,0.6506549174205142
sensor_15,-0.6349984081952827,0.6349984081952827
sensor_21,0.6272268298039717,0.6272268298039717
sensor_20,0.6209358167161864,0.6209358167161864
sensor_17,-0.598915060849256,0.598915060849256
sensor_2,-0.5988641131198693,0.5988641131198693
sensor_3,-0.5805020143630308,0.5805020143630308
sensor_8,-0.5612846640930108,0.5612846640930108
sensor_13,-0.5561746533478555,0.5561746533478555
sensor_9,-0.3684761867508171,0.3684761867508171
sensor_14,-0.29015425720008875,0.29015425720008875
sensor_6,-0.11472957556348702,0.11472957556348702
operational_setting_1,-0.008020140659719406,0.008020140659719406
operational_setting_2,0.005427325389948538,0.005427325389948538
