Model,Healthy threshold quantile,Threshold,Precision,Recall,F1,ROC-AUC,PR-AUC,True negatives,False positives,False negatives,True positives,Predicted positive rate,Total asymmetric cost,Cost per row,Fit time (seconds),Scoring ms per 1000 rows,Reference score median,Reference score scale
Isolation Forest,0.95,2.450282179638518,0.4172727272727273,0.9870967741935484,0.5865814696485623,0.9618775000917463,0.7651170292542027,2582,641,6,459,0.2982646420824295,683.0,0.1851952277657267,0.9131108000292443,55.185032537744384,-0.07045158304248078,0.04542567076258483
Isolation Forest,0.975,3.1652772782750147,0.488962472406181,0.9526881720430107,0.6462436177972283,0.9618775000917463,0.7651170292542027,2760,463,22,443,0.24566160520607375,617.0,0.1672993492407809,0.9131108000292443,55.185032537744384,-0.07045158304248078,0.04542567076258483
Isolation Forest,0.99,3.6907450945212577,0.553686934023286,0.9204301075268817,0.691437802907916,0.9618775000917463,0.7651170292542027,2878,345,37,428,0.20959869848156182,604.0,0.16377440347071584,0.9131108000292443,55.185032537744384,-0.07045158304248078,0.04542567076258483
Isolation Forest,0.995,4.008399312776363,0.5930735930735931,0.8838709677419355,0.7098445595854922,0.9618775000917463,0.7651170292542027,2941,282,54,411,0.18790672451193058,660.0,0.1789587852494577,0.9131108000292443,55.185032537744384,-0.07045158304248078,0.04542567076258483
Isolation Forest,0.999,4.640360823577546,0.6715063520871143,0.7956989247311828,0.7283464566929134,0.9618775000917463,0.7651170292542027,3042,181,95,370,0.14940347071583515,846.0,0.22939262472885033,0.9131108000292443,55.185032537744384,-0.07045158304248078,0.04542567076258483
LOF,0.95,2.201779566850761,0.3367496339677892,0.989247311827957,0.5024576734025122,0.9471847173707791,0.7164302086867018,2317,906,5,460,0.3703904555314534,941.0,0.25515184381778744,0.39959370001452044,43.917299347269044,-0.4753166301240662,0.07213750717611178
LOF,0.975,2.8962635598335926,0.3744889615699101,0.9849462365591398,0.542654028436019,0.9471847173707791,0.7164302086867018,2458,765,7,458,0.3316160520607375,814.0,0.22071583514099782,0.39959370001452044,43.917299347269044,-0.4753166301240662,0.07213750717611178
LOF,0.99,3.737882400414249,0.41357466063348414,0.9827956989247312,0.5821656050955414,0.9471847173707791,0.7164302086867018,2575,648,8,457,0.29962039045553146,704.0,0.19088937093275488,0.39959370001452044,43.917299347269044,-0.4753166301240662,0.07213750717611178
LOF,0.995,4.482940103102809,0.4329501915708812,0.9720430107526882,0.5990722332670643,0.9471847173707791,0.7164302086867018,2631,592,13,452,0.28308026030368766,683.0,0.1851952277657267,0.39959370001452044,43.917299347269044,-0.4753166301240662,0.07213750717611178
LOF,0.999,68.69576643257001,0.5298507462686567,0.45806451612903226,0.4913494809688581,0.9471847173707791,0.7164302086867018,3034,189,252,213,0.10900216919739697,1953.0,0.5295553145336226,0.39959370001452044,43.917299347269044,-0.4753166301240662,0.07213750717611178
One-Class SVM,0.95,1.2752241638020612,0.3278805120910384,0.9913978494623656,0.4927846071619455,0.9540480217789475,0.7693022147729618,2278,945,4,461,0.381236442516269,973.0,0.2638286334056399,0.032209399971179664,27.55528741916177,-2.756553580602186,2.1616565365608307
One-Class SVM,0.975,1.4457396409234777,0.35141329258976317,0.989247311827957,0.5186020293122886,0.9540480217789475,0.7693022147729618,2374,849,5,460,0.35493492407809113,884.0,0.23969631236442515,0.032209399971179664,27.55528741916177,-2.756553580602186,2.1616565365608307
One-Class SVM,0.99,1.801952273227531,0.39964943032427697,0.9806451612903225,0.5678704856787049,0.9540480217789475,0.7693022147729618,2538,685,9,456,0.3093817787418655,748.0,0.20281995661605207,0.032209399971179664,27.55528741916177,-2.756553580602186,2.1616565365608307
One-Class SVM,0.995,2.077513165004964,0.43088655862726405,0.9720430107526882,0.5970937912813739,0.9540480217789475,0.7693022147729618,2626,597,13,452,0.2844360086767896,688.0,0.18655097613882862,0.032209399971179664,27.55528741916177,-2.756553580602186,2.1616565365608307
One-Class SVM,0.999,4.621842649385004,0.5917065390749602,0.7978494623655914,0.6794871794871795,0.9540480217789475,0.7693022147729618,2967,256,94,371,0.17001084598698482,914.0,0.2478308026030369,0.032209399971179664,27.55528741916177,-2.756553580602186,2.1616565365608307
PCA Reconstruction,0.95,2.085698695711488,0.3411534701857282,0.7505376344086021,0.46908602150537637,0.8478936674907169,0.551734022994105,2549,674,116,349,0.27738611713665945,1486.0,0.4029284164859002,0.027484800026286393,1.377114973590586,0.026475812957594467,0.029656678826727425
PCA Reconstruction,0.975,2.888753697470922,0.35953757225433525,0.6688172043010753,0.46766917293233085,0.8478936674907169,0.551734022994105,2669,554,154,311,0.23454446854663774,1632.0,0.44251626898047725,0.027484800026286393,1.377114973590586,0.026475812957594467,0.029656678826727425
PCA Reconstruction,0.99,3.628001880010665,0.3795811518324607,0.6236559139784946,0.47192839707078926,0.8478936674907169,0.551734022994105,2749,474,175,290,0.20715835140997832,1699.0,0.46068329718004336,0.027484800026286393,1.377114973590586,0.026475812957594467,0.029656678826727425
PCA Reconstruction,0.995,4.267696842524915,0.3948497854077253,0.5935483870967742,0.4742268041237113,0.8478936674907169,0.551734022994105,2800,423,189,276,0.18953362255965292,1746.0,0.4734273318872017,0.027484800026286393,1.377114973590586,0.026475812957594467,0.029656678826727425
PCA Reconstruction,0.999,6.400741043063052,0.4094076655052265,0.5053763440860215,0.4523580365736285,0.8478936674907169,0.551734022994105,2884,339,230,235,0.15563991323210413,1949.0,0.528470715835141,0.027484800026286393,1.377114973590586,0.026475812957594467,0.029656678826727425
