Threshold 10,Threshold 20,Threshold 30,Total asymmetric cost,Total false positives,Total false negatives,Mean recall,Mean F1
0.09999999999999999,0.08,0.08,350.0,308,6,0.9956989247311828,0.8598417472231089
0.09999999999999999,0.09,0.08,350.0,308,6,0.9956989247311828,0.8598417472231089
0.09999999999999999,0.09,0.09,350.0,308,6,0.9956989247311828,0.8598417472231089
0.09999999999999999,0.09999999999999999,0.08,350.0,308,6,0.9956989247311828,0.8598417472231089
0.09999999999999999,0.09999999999999999,0.09,350.0,308,6,0.9956989247311828,0.8598417472231089
0.09999999999999999,0.09999999999999999,0.09999999999999999,350.0,308,6,0.9956989247311828,0.8598417472231089
0.09999999999999999,0.06999999999999999,0.06999999999999999,353.0,311,6,0.9956989247311828,0.8590270362768727
0.09999999999999999,0.08,0.06999999999999999,353.0,311,6,0.9956989247311828,0.8590270362768727
0.09999999999999999,0.09,0.06999999999999999,353.0,311,6,0.9956989247311828,0.8590270362768727
0.09999999999999999,0.09999999999999999,0.06999999999999999,353.0,311,6,0.9956989247311828,0.8590270362768727
0.09,0.08,0.08,354.0,312,6,0.9956989247311828,0.8567293911695764
0.09,0.09,0.08,354.0,312,6,0.9956989247311828,0.8567293911695764
0.09,0.09,0.09,354.0,312,6,0.9956989247311828,0.8567293911695764
0.09,0.06999999999999999,0.06999999999999999,357.0,315,6,0.9956989247311828,0.8559146802233402
0.09,0.08,0.06999999999999999,357.0,315,6,0.9956989247311828,0.8559146802233402
0.09,0.09,0.06999999999999999,357.0,315,6,0.9956989247311828,0.8559146802233402
0.15,0.15,0.08,357.0,235,13,0.9863675153997734,0.8883803155581944
0.15,0.15,0.09,357.0,235,13,0.9863675153997734,0.8883803155581944
0.15,0.15,0.09999999999999999,357.0,235,13,0.9863675153997734,0.8883803155581944
0.08,0.08,0.08,360.0,318,6,0.9956989247311828,0.8521824334976187
0.15,0.15,0.06999999999999999,360.0,238,13,0.9863675153997734,0.8875656046119582
0.08,0.06999999999999999,0.06999999999999999,363.0,321,6,0.9956989247311828,0.8513677225513825
0.08,0.08,0.06999999999999999,363.0,321,6,0.9956989247311828,0.8513677225513825
0.15,0.15,0.15,364.0,193,20,0.9813495942528201,0.8977558015643282
0.06999999999999999,0.06999999999999999,0.06999999999999999,366.0,324,6,0.9956989247311828,0.8491471153162404
0.15,0.08,0.08,370.0,298,8,0.9916585206907786,0.8659082622269004
0.15,0.09,0.08,370.0,298,8,0.9916585206907786,0.8659082622269004
0.15,0.09,0.09,370.0,298,8,0.9916585206907786,0.8659082622269004
0.15,0.09999999999999999,0.08,370.0,298,8,0.9916585206907786,0.8659082622269004
0.15,0.09999999999999999,0.09,370.0,298,8,0.9916585206907786,0.8659082622269004
0.15,0.09999999999999999,0.09999999999999999,370.0,298,8,0.9916585206907786,0.8659082622269004
0.15,0.06999999999999999,0.06999999999999999,373.0,301,8,0.9916585206907786,0.8650935512806642
0.15,0.08,0.06999999999999999,373.0,301,8,0.9916585206907786,0.8650935512806642
0.15,0.09,0.06999999999999999,373.0,301,8,0.9916585206907786,0.8650935512806642
0.15,0.09999999999999999,0.06999999999999999,373.0,301,8,0.9916585206907786,0.8650935512806642
0.09999999999999999,0.05,0.03,385.0,364,3,0.9978494623655915,0.8464082570786066
0.09999999999999999,0.060000000000000005,0.03,385.0,364,3,0.9978494623655915,0.8464082570786066
0.09999999999999999,0.06999999999999999,0.03,385.0,364,3,0.9978494623655915,0.8464082570786066
0.09999999999999999,0.08,0.03,385.0,364,3,0.9978494623655915,0.8464082570786066
0.09999999999999999,0.09,0.03,385.0,364,3,0.9978494623655915,0.8464082570786066
0.09999999999999999,0.09999999999999999,0.03,385.0,364,3,0.9978494623655915,0.8464082570786066
0.09999999999999999,0.05,0.05,387.0,359,4,0.9971326164874551,0.8472930799574604
0.09999999999999999,0.060000000000000005,0.05,387.0,359,4,0.9971326164874551,0.8472930799574604
0.09999999999999999,0.060000000000000005,0.060000000000000005,387.0,359,4,0.9971326164874551,0.8472930799574604
0.09999999999999999,0.06999999999999999,0.05,387.0,359,4,0.9971326164874551,0.8472930799574604
0.09999999999999999,0.06999999999999999,0.060000000000000005,387.0,359,4,0.9971326164874551,0.8472930799574604
0.09999999999999999,0.08,0.05,387.0,359,4,0.9971326164874551,0.8472930799574604
0.09999999999999999,0.08,0.060000000000000005,387.0,359,4,0.9971326164874551,0.8472930799574604
0.09999999999999999,0.09,0.05,387.0,359,4,0.9971326164874551,0.8472930799574604
0.09999999999999999,0.09,0.060000000000000005,387.0,359,4,0.9971326164874551,0.8472930799574604
0.09999999999999999,0.09999999999999999,0.05,387.0,359,4,0.9971326164874551,0.8472930799574604
0.09999999999999999,0.09999999999999999,0.060000000000000005,387.0,359,4,0.9971326164874551,0.8472930799574604
0.09,0.05,0.03,389.0,368,3,0.9978494623655915,0.843295901025074
0.09,0.060000000000000005,0.03,389.0,368,3,0.9978494623655915,0.843295901025074
0.09,0.06999999999999999,0.03,389.0,368,3,0.9978494623655915,0.843295901025074
0.09,0.08,0.03,389.0,368,3,0.9978494623655915,0.843295901025074
0.09,0.09,0.03,389.0,368,3,0.9978494623655915,0.843295901025074
0.09999999999999999,0.05,0.04,389.0,361,4,0.9971326164874551,0.8467977784722275
0.09999999999999999,0.060000000000000005,0.04,389.0,361,4,0.9971326164874551,0.8467977784722275
0.09999999999999999,0.06999999999999999,0.04,389.0,361,4,0.9971326164874551,0.8467977784722275
0.09999999999999999,0.08,0.04,389.0,361,4,0.9971326164874551,0.8467977784722275
0.09999999999999999,0.09,0.04,389.0,361,4,0.9971326164874551,0.8467977784722275
0.09999999999999999,0.09999999999999999,0.04,389.0,361,4,0.9971326164874551,0.8467977784722275
0.09,0.05,0.05,391.0,363,4,0.9971326164874551,0.844180723903928
0.09,0.060000000000000005,0.05,391.0,363,4,0.9971326164874551,0.844180723903928
0.09,0.060000000000000005,0.060000000000000005,391.0,363,4,0.9971326164874551,0.844180723903928
0.09,0.06999999999999999,0.05,391.0,363,4,0.9971326164874551,0.844180723903928
0.09,0.06999999999999999,0.060000000000000005,391.0,363,4,0.9971326164874551,0.844180723903928
0.09,0.08,0.05,391.0,363,4,0.9971326164874551,0.844180723903928
0.09,0.08,0.060000000000000005,391.0,363,4,0.9971326164874551,0.844180723903928
0.09,0.09,0.05,391.0,363,4,0.9971326164874551,0.844180723903928
0.09,0.09,0.060000000000000005,391.0,363,4,0.9971326164874551,0.844180723903928
0.15,0.15,0.03,392.0,291,10,0.988518053034182,0.8749468254136921
0.09,0.05,0.04,393.0,365,4,0.9971326164874551,0.8436854224186949
0.09,0.060000000000000005,0.04,393.0,365,4,0.9971326164874551,0.8436854224186949
0.09,0.06999999999999999,0.04,393.0,365,4,0.9971326164874551,0.8436854224186949
0.09,0.08,0.04,393.0,365,4,0.9971326164874551,0.8436854224186949
0.09,0.09,0.04,393.0,365,4,0.9971326164874551,0.8436854224186949
0.15,0.15,0.05,394.0,286,11,0.9878012071560459,0.875831648292546
0.15,0.15,0.060000000000000005,394.0,286,11,0.9878012071560459,0.875831648292546
0.08,0.05,0.03,395.0,374,3,0.9978494623655915,0.8387489433531163
0.08,0.060000000000000005,0.03,395.0,374,3,0.9978494623655915,0.8387489433531163
0.08,0.06999999999999999,0.03,395.0,374,3,0.9978494623655915,0.8387489433531163
0.08,0.08,0.03,395.0,374,3,0.9978494623655915,0.8387489433531163
0.15,0.15,0.04,396.0,288,11,0.9878012071560459,0.875336346807313
0.08,0.05,0.05,397.0,369,4,0.9971326164874551,0.8396337662319703
0.08,0.060000000000000005,0.05,397.0,369,4,0.9971326164874551,0.8396337662319703
0.08,0.060000000000000005,0.060000000000000005,397.0,369,4,0.9971326164874551,0.8396337662319703
0.08,0.06999999999999999,0.05,397.0,369,4,0.9971326164874551,0.8396337662319703
0.08,0.06999999999999999,0.060000000000000005,397.0,369,4,0.9971326164874551,0.8396337662319703
0.08,0.08,0.05,397.0,369,4,0.9971326164874551,0.8396337662319703
0.08,0.08,0.060000000000000005,397.0,369,4,0.9971326164874551,0.8396337662319703
0.06999999999999999,0.05,0.03,398.0,377,3,0.9978494623655915,0.8365283361179743
0.06999999999999999,0.060000000000000005,0.03,398.0,377,3,0.9978494623655915,0.8365283361179743
0.06999999999999999,0.06999999999999999,0.03,398.0,377,3,0.9978494623655915,0.8365283361179743
0.08,0.05,0.04,399.0,371,4,0.9971326164874551,0.8391384647467373
0.08,0.060000000000000005,0.04,399.0,371,4,0.9971326164874551,0.8391384647467373
0.08,0.06999999999999999,0.04,399.0,371,4,0.9971326164874551,0.8391384647467373
0.08,0.08,0.04,399.0,371,4,0.9971326164874551,0.8391384647467373
0.06999999999999999,0.05,0.05,400.0,372,4,0.9971326164874551,0.8374131589968282
0.06999999999999999,0.060000000000000005,0.05,400.0,372,4,0.9971326164874551,0.8374131589968282
0.06999999999999999,0.060000000000000005,0.060000000000000005,400.0,372,4,0.9971326164874551,0.8374131589968282
0.06999999999999999,0.06999999999999999,0.05,400.0,372,4,0.9971326164874551,0.8374131589968282
0.06999999999999999,0.06999999999999999,0.060000000000000005,400.0,372,4,0.9971326164874551,0.8374131589968282
0.060000000000000005,0.05,0.03,401.0,380,3,0.9978494623655915,0.8343418920710651
0.060000000000000005,0.060000000000000005,0.03,401.0,380,3,0.9978494623655915,0.8343418920710651
0.06999999999999999,0.05,0.04,402.0,374,4,0.9971326164874551,0.8369178575115952
0.06999999999999999,0.060000000000000005,0.04,402.0,374,4,0.9971326164874551,0.8369178575115952
0.06999999999999999,0.06999999999999999,0.04,402.0,374,4,0.9971326164874551,0.8369178575115952
0.060000000000000005,0.05,0.05,403.0,375,4,0.9971326164874551,0.835226714949919
0.060000000000000005,0.060000000000000005,0.05,403.0,375,4,0.9971326164874551,0.835226714949919
0.060000000000000005,0.060000000000000005,0.060000000000000005,403.0,375,4,0.9971326164874551,0.835226714949919
0.060000000000000005,0.05,0.04,405.0,377,4,0.9971326164874551,0.834731413464686
