engine_id,Sequence length
1,259
2,253
3,222
4,272
5,213
6,278
7,424
8,267
9,406
10,481
11,197
12,170
13,185
14,207
15,202
16,344
17,312
18,447
19,229
20,338
21,220
22,192
23,196
24,494
25,193
26,243
27,320
28,200
29,223
30,218
31,183
32,189
33,231
34,459
35,231
36,324
37,324
38,201
39,288
40,188
41,295
42,193
43,321
44,180
45,205
46,204
47,269
48,174
49,256
50,161
51,190
52,222
53,164
54,194
55,525
56,195
57,215
58,178
59,299
60,190
61,199
62,246
63,231
64,195
65,234
66,165
67,263
68,201
69,170
70,172
71,409
72,232
73,215
74,193
75,259
76,153
77,255
78,221
79,166
80,147
81,347
82,285
83,181
84,226
85,266
86,341
87,172
88,322
89,207
90,181
91,156
92,158
93,171
94,392
95,166
96,491
97,275
98,307
99,145
100,152
