engine_id,Engine rows,First intervention cycle,First intervention RUL,First STOP cycle,First STOP RUL,Intervention lead beyond RUL 30,STOP lead beyond RUL 10,Missed INSPECT,Missed STOP,Anomaly advisory cycles,Conformal advisory cycles
9,406,361.0,45.0,390.0,16.0,15.0,6.0,False,False,148,304
13,185,114.0,71.0,167.0,18.0,41.0,8.0,False,False,44,181
14,207,179.0,28.0,197.0,10.0,-2.0,0.0,False,False,29,112
15,202,37.0,165.0,178.0,24.0,135.0,14.0,False,False,64,201
20,338,298.0,40.0,323.0,15.0,10.0,5.0,False,False,88,176
23,196,160.0,36.0,182.0,14.0,6.0,4.0,False,False,29,144
36,324,292.0,32.0,303.0,21.0,2.0,11.0,False,False,36,212
37,324,273.0,51.0,311.0,13.0,21.0,3.0,False,False,63,134
42,193,76.0,117.0,179.0,14.0,87.0,4.0,False,False,42,53
48,174,127.0,47.0,164.0,10.0,17.0,0.0,False,False,33,172
54,194,152.0,42.0,180.0,14.0,12.0,4.0,False,False,42,193
65,234,202.0,32.0,221.0,13.0,2.0,3.0,False,False,27,144
66,165,135.0,30.0,158.0,7.0,0.0,-3.0,False,False,27,84
67,263,199.0,64.0,240.0,23.0,34.0,13.0,False,False,45,259
78,221,184.0,37.0,208.0,13.0,7.0,3.0,False,False,39,210
