Feature,Current-cycle feature,Temporal-derived feature
cycle,True,False
operational_setting_1,True,False
operational_setting_2,True,False
sensor_2,True,False
sensor_3,True,False
sensor_4,True,False
sensor_6,True,False
sensor_7,True,False
sensor_8,True,False
sensor_9,True,False
sensor_10,True,False
sensor_11,True,False
sensor_12,True,False
sensor_13,True,False
sensor_14,True,False
sensor_15,True,False
sensor_17,True,False
sensor_20,True,False
sensor_21,True,False
sensor_2_delta_1,False,True
sensor_2_delta_5,False,True
sensor_2_mean_5,False,True
sensor_2_std_5,False,True
sensor_2_mean_10,False,True
sensor_2_std_10,False,True
sensor_2_mean_20,False,True
sensor_2_std_20,False,True
sensor_3_delta_1,False,True
sensor_3_delta_5,False,True
sensor_3_mean_5,False,True
sensor_3_std_5,False,True
sensor_3_mean_10,False,True
sensor_3_std_10,False,True
sensor_3_mean_20,False,True
sensor_3_std_20,False,True
sensor_4_delta_1,False,True
sensor_4_delta_5,False,True
sensor_4_mean_5,False,True
sensor_4_std_5,False,True
sensor_4_mean_10,False,True
sensor_4_std_10,False,True
sensor_4_mean_20,False,True
sensor_4_std_20,False,True
sensor_6_delta_1,False,True
sensor_6_delta_5,False,True
sensor_6_mean_5,False,True
sensor_6_std_5,False,True
sensor_6_mean_10,False,True
sensor_6_std_10,False,True
sensor_6_mean_20,False,True
sensor_6_std_20,False,True
sensor_7_delta_1,False,True
sensor_7_delta_5,False,True
sensor_7_mean_5,False,True
sensor_7_std_5,False,True
sensor_7_mean_10,False,True
sensor_7_std_10,False,True
sensor_7_mean_20,False,True
sensor_7_std_20,False,True
sensor_8_delta_1,False,True
sensor_8_delta_5,False,True
sensor_8_mean_5,False,True
sensor_8_std_5,False,True
sensor_8_mean_10,False,True
sensor_8_std_10,False,True
sensor_8_mean_20,False,True
sensor_8_std_20,False,True
sensor_9_delta_1,False,True
sensor_9_delta_5,False,True
sensor_9_mean_5,False,True
sensor_9_std_5,False,True
sensor_9_mean_10,False,True
sensor_9_std_10,False,True
sensor_9_mean_20,False,True
sensor_9_std_20,False,True
sensor_10_delta_1,False,True
sensor_10_delta_5,False,True
sensor_10_mean_5,False,True
sensor_10_std_5,False,True
sensor_10_mean_10,False,True
sensor_10_std_10,False,True
sensor_10_mean_20,False,True
sensor_10_std_20,False,True
sensor_11_delta_1,False,True
sensor_11_delta_5,False,True
sensor_11_mean_5,False,True
sensor_11_std_5,False,True
sensor_11_mean_10,False,True
sensor_11_std_10,False,True
sensor_11_mean_20,False,True
sensor_11_std_20,False,True
sensor_12_delta_1,False,True
sensor_12_delta_5,False,True
sensor_12_mean_5,False,True
sensor_12_std_5,False,True
sensor_12_mean_10,False,True
sensor_12_std_10,False,True
sensor_12_mean_20,False,True
sensor_12_std_20,False,True
sensor_13_delta_1,False,True
sensor_13_delta_5,False,True
sensor_13_mean_5,False,True
sensor_13_std_5,False,True
sensor_13_mean_10,False,True
sensor_13_std_10,False,True
sensor_13_mean_20,False,True
sensor_13_std_20,False,True
sensor_14_delta_1,False,True
sensor_14_delta_5,False,True
sensor_14_mean_5,False,True
sensor_14_std_5,False,True
sensor_14_mean_10,False,True
sensor_14_std_10,False,True
sensor_14_mean_20,False,True
sensor_14_std_20,False,True
sensor_15_delta_1,False,True
sensor_15_delta_5,False,True
sensor_15_mean_5,False,True
sensor_15_std_5,False,True
sensor_15_mean_10,False,True
sensor_15_std_10,False,True
sensor_15_mean_20,False,True
sensor_15_std_20,False,True
sensor_17_delta_1,False,True
sensor_17_delta_5,False,True
sensor_17_mean_5,False,True
sensor_17_std_5,False,True
sensor_17_mean_10,False,True
sensor_17_std_10,False,True
sensor_17_mean_20,False,True
sensor_17_std_20,False,True
sensor_20_delta_1,False,True
sensor_20_delta_5,False,True
sensor_20_mean_5,False,True
sensor_20_std_5,False,True
sensor_20_mean_10,False,True
sensor_20_std_10,False,True
sensor_20_mean_20,False,True
sensor_20_std_20,False,True
sensor_21_delta_1,False,True
sensor_21_delta_5,False,True
sensor_21_mean_5,False,True
sensor_21_std_5,False,True
sensor_21_mean_10,False,True
sensor_21_std_10,False,True
sensor_21_mean_20,False,True
sensor_21_std_20,False,True
