Sensor,Near-failure mean squared error,Non-near-failure mean squared error,Contribution ratio
sensor_6,4.824571840490466,0.550017409270754,8.771671149259024
sensor_15,2.304851178272619,0.26273722874415356,8.772457520730802
sensor_7,1.9844027245006137,0.2647192367654372,7.496254328728502
sensor_12,1.5555697489484708,0.21167524335286575,7.348850646437255
sensor_21,0.36670313476948896,0.04188226622046179,8.755570504213411
sensor_20,0.36030963552065826,0.04113795636561065,8.758569150067448
sensor_14,0.14135471919117865,0.08966198011403818,1.5765290819073383
sensor_9,0.10741977805252372,0.08318769462818897,1.2912940854130062
sensor_11,0.07206663962729419,0.008775987089341944,8.21179872914991
sensor_4,0.06089061806138584,0.007137636168150615,8.530922090578175
sensor_13,0.030476237588606864,0.02242360199256387,1.3591142760522334
sensor_8,0.029362840815053394,0.02193830479615989,1.3384279728027622
sensor_3,0.02531687872535099,0.0029256729346802566,8.653352336568627
sensor_2,0.023896079987020712,0.003073501216371754,7.774872467833236
sensor_17,0.0008186880323315977,0.00011602040774543897,7.056414024400653
sensor_10,0.0005025425225529083,6.767275853672133e-05,7.42606823512615
