Candidate,Family,Configuration,Feature configuration,Feature count,MAE,RMSE,R2,NASA Score,Near-failure MAE,Late prediction rate,Fit time (seconds),Prediction ms per 1000 rows
Ridge — Temporal | alpha=1000,Ridge — Temporal,alpha=1000,Temporal,147,48.72712811804054,64.44764938772909,0.6630105045934523,1357809674.9781766,14.8734337974898,0.5479934924078091,0.6377562999841757,10.555016273105368
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",Polynomial Ridge — Current Cycle,"degree=2, alpha=0.01",Current cycle,19,46.22234602430499,61.17724019110698,0.696343933308726,1411904784.1372554,15.950480549509198,0.6057483731019523,0.26036740001291037,4.8431941367930245
Ridge — Current Cycle | alpha=0.01,Ridge — Current Cycle,alpha=0.01,Current cycle,19,51.61922701706906,66.47925988420886,0.6414295046612899,1622010972.9200993,18.287721247280263,0.5498915401301518,0.05227839999133721,2.4019793899974293
Ridge — Current Cycle | alpha=0.1,Ridge — Current Cycle,alpha=0.1,Current cycle,19,51.619164137207655,66.47925752820646,0.6414295300765227,1622046027.171474,18.287678821073843,0.5498915401301518,0.02330420003272593,1.4302874035242372
Ridge — Current Cycle | alpha=1,Ridge — Current Cycle,alpha=1,Current cycle,19,51.618535490888824,66.47923409918263,0.641429782815645,1622396691.4503322,18.28725474462601,0.5498915401301518,0.03087499999674037,1.2400759262317658
Ridge — Current Cycle | alpha=10,Ridge — Current Cycle,alpha=10,Current cycle,19,51.61226422445731,66.47901285133129,0.6414321695085475,1625915540.5167139,18.283032428138632,0.5498915401301518,0.032286299974657595,1.1968817698229872
Ridge — Current Cycle | alpha=100,Ridge — Current Cycle,alpha=100,Current cycle,19,51.55130589965986,66.47783024823546,0.6414449266069622,1662332200.785014,18.242559268835862,0.550704989154013,0.037215599964838475,1.167570503550802
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.1",Polynomial Ridge — Current Cycle,"degree=2, alpha=0.1",Current cycle,19,46.71907954453296,61.709356174064915,0.6910385957822158,2052874655.5433474,14.882668865648908,0.6035791757049892,0.23044349998235703,8.499186557723682
Ridge — Current Cycle | alpha=1000,Ridge — Current Cycle,alpha=1000,Current cycle,19,51.10221093318245,66.54828140541298,0.6406845526611968,2123357220.3295457,17.99093579868251,0.5547722342733189,0.037488400004804134,2.0587852377739457
"Polynomial Ridge — Current Cycle | degree=2, alpha=100",Polynomial Ridge — Current Cycle,"degree=2, alpha=100",Current cycle,19,51.22995353202698,65.6750381240573,0.6500525230350602,2507071691.2913346,14.217905174102079,0.5946312364425163,0.6596286999993026,15.327196306000522
"Polynomial Ridge — Current Cycle | degree=2, alpha=10",Polynomial Ridge — Current Cycle,"degree=2, alpha=10",Current cycle,19,50.74866684903844,65.07769625375049,0.6563894096561991,3109234890.0737524,14.42693023664296,0.5968004338394793,0.22491739998804405,6.176437090409601
"Polynomial Ridge — Current Cycle | degree=2, alpha=1",Polynomial Ridge — Current Cycle,"degree=2, alpha=1",Current cycle,19,48.59861852049387,63.285054846384554,0.675058993602717,3419368111.1764307,14.24616085697539,0.597885032537961,0.2439830000512302,6.493709325753031
Ridge — Temporal | alpha=100,Ridge — Temporal,alpha=100,Temporal,147,49.20463789878418,64.86866641676461,0.6585932219890647,4131742490.3299375,14.436750393172689,0.5428416485900217,0.7411828999756835,10.630775485091808
Ridge — Temporal | alpha=10,Ridge — Temporal,alpha=10,Temporal,147,49.24106945533903,64.8926927787665,0.6583402714543756,6366630907.840393,15.622240687156633,0.544468546637744,0.9709223000099882,11.564967470115288
Ridge — Temporal | alpha=1,Ridge — Temporal,alpha=1,Temporal,147,49.25035544855266,64.87274472827912,0.6585502919570494,8053524289.402076,16.546051554221496,0.5450108459869848,0.9806887999875471,11.758703904235514
Ridge — Temporal | alpha=0.1,Ridge — Temporal,alpha=0.1,Temporal,147,49.25700115872224,64.88348687834518,0.658437202625014,8731627802.037943,16.743791679399923,0.544468546637744,0.6970483000040986,12.413964209974079
Ridge — Temporal | alpha=0.01,Ridge — Temporal,alpha=0.01,Temporal,147,49.25799968717518,64.88540841169835,0.6584169714673651,8825617357.911575,16.765681334890164,0.5450108459869848,0.750262199959252,13.887418654733166
