Candidate,Safety offset,MAE,RMSE,R2,NASA Score,Near-failure MAE,Late prediction rate,Maximum overprediction,Mean residual
Ridge — Temporal | alpha=1000,0.0,48.72712811804054,64.44764938772909,0.6630105045934523,1357809674.9781766,14.8734337974898,0.5479934924078091,198.89491746025487,-0.4591529845138448
Ridge — Temporal | alpha=1000,2.0,48.455411296768084,64.46800078540063,0.6627976406598262,1164618220.892762,14.07976223846372,0.5287418655097614,196.89491746025487,-2.3425070905350545
Ridge — Temporal | alpha=1000,4.0,48.257149322888374,64.54604794715767,0.6619806890773818,1015250680.0473473,13.394615718437416,0.5119305856832972,194.89491746025487,-4.2224288620548105
Ridge — Temporal | alpha=1000,6.0,48.11369780356221,64.68060808581947,0.6605698719223279,903227341.030102,12.76198311059012,0.49647505422993493,192.89491746025487,-6.0971129576322465
Ridge — Temporal | alpha=1000,8.0,48.023672042797976,64.87106866639967,0.6585679352199915,823486610.4116861,12.168077918558875,0.4823752711496746,190.89491746025487,-7.965572981359937
Ridge — Temporal | alpha=1000,10.0,47.988309862016806,65.11666911815313,0.655977732551009,772168422.7125297,11.657136495937001,0.46800433839479394,188.89491746025487,-9.828207673898076
Ridge — Temporal | alpha=1000,12.0,48.00335001243022,65.41607524787479,0.6528068339394664,746443671.330231,11.200895298056585,0.4514642082429501,186.89491746025487,-11.683945121386406
Ridge — Temporal | alpha=1000,14.0,48.07471802435221,65.76761313656489,0.6490652613346755,744382409.0201428,10.807656321592367,0.43627982646420826,184.89491746025487,-13.532016633307045
Ridge — Temporal | alpha=1000,16.0,48.1988794898503,66.17051329859758,0.6447523557169395,764855153.5333202,10.492531601900884,0.4197396963123644,182.89491746025487,-15.37415964361613
Ridge — Temporal | alpha=1000,18.0,48.38958197575543,66.62334840531497,0.6398734740033998,807462672.636855,10.290856974575675,0.40536876355748375,180.89491746025487,-17.211296702861663
Ridge — Temporal | alpha=1000,20.0,48.63112973454337,67.12447555743267,0.6344355033586577,872491007.802799,10.185338234383632,0.3896420824295011,178.89491746025487,-19.042990043347586
Ridge — Temporal | alpha=1000,22.0,48.935448090071745,67.67247072539594,0.6284423004401967,960889298.7097166,10.183134502882089,0.37445770065075923,176.89491746025487,-20.86740283213557
Ridge — Temporal | alpha=1000,24.0,49.28953992338334,68.26495438047124,0.6219077214387116,1074268366.0796542,10.223675678197743,0.35683297180043383,174.89491746025487,-22.68217981673282
Ridge — Temporal | alpha=1000,26.0,49.690239145235104,68.90030116728114,0.6148371070223706,1214919486.8869572,10.320950466121072,0.34490238611713664,172.89491746025487,-24.487084324107176
Ridge — Temporal | alpha=1000,28.0,50.13758450458183,69.57767973186357,0.6072265863211417,1385852695.3081615,10.464653621297687,0.3294468546637744,170.89491746025487,-26.2848286501881
Ridge — Temporal | alpha=1000,30.0,50.64840848725396,70.29568745543163,0.5990782987962131,1590855315.9253457,10.687928284196303,0.3099240780911063,168.89491746025487,-28.07475996060061
Ridge — Temporal | alpha=1000,32.0,51.22330805964052,71.05288539735805,0.590394633964866,1834570825.817482,10.99203900607842,0.294468546637744,166.89491746025487,-29.857417022098545
Ridge — Temporal | alpha=1000,34.0,51.85011637920176,71.84738941340903,0.581183112671095,2122600318.7112682,11.31095018949104,0.28009761388286336,164.89491746025487,-31.6306060598357
Ridge — Temporal | alpha=1000,36.0,52.52512671336929,72.67754134436417,0.5714488614125856,2461628176.620607,11.657277248420645,0.26572668112798264,162.89491746025487,-33.39585441955543
Ridge — Temporal | alpha=1000,38.0,53.241816136518494,73.54005875910833,0.5612166448444965,2859574509.8022766,11.999331289059477,0.25379609544468545,160.89491746025487,-35.150479420978435
Ridge — Temporal | alpha=1000,40.0,53.987376081941505,74.4305662734829,0.5505257195113982,3325778461.6840096,12.29943762691976,0.24349240780911063,158.89491746025487,-36.88964690482532
Ridge — Temporal | alpha=1000,42.0,54.7649751497431,75.351591906195,0.5393330417492043,3871216144.0129237,12.590930891730578,0.23210412147505424,156.89491746025487,-38.61969292753618
Ridge — Temporal | alpha=1000,44.0,55.58398346641666,76.30278978318103,0.5276292109507497,4508757097.120207,12.876668591124817,0.21936008676789587,154.89491746025487,-40.34183130417938
Ridge — Temporal | alpha=1000,46.0,56.437168089247876,77.2839812029396,0.5154024970170574,5253467281.687203,13.157702900440663,0.21122559652928416,152.89491746025487,-42.056800357624134
Ridge — Temporal | alpha=1000,48.0,57.31191764087139,78.29281795890643,0.5026684066180349,6122963619.253675,13.392916048161828,0.20336225596529284,150.89491746025487,-43.76218098181516
Ridge — Temporal | alpha=1000,50.0,58.21524690914618,79.32912733089198,0.48941558634427373,7137830283.960484,13.606993289263679,0.19468546637744036,148.89491746025487,-45.46154360592677
Ridge — Temporal | alpha=1000,52.0,59.14425142455904,80.38863129392868,0.4756859829483381,8322105598.951692,13.796543051821752,0.1851952277657267,146.89491746025487,-47.1491921041205
Ridge — Temporal | alpha=1000,54.0,60.09335227165319,81.47005364010654,0.4614845049090178,9703850668.262121,13.957614840595413,0.17760303687635576,144.89491746025487,-48.82523671875939
Ridge — Temporal | alpha=1000,56.0,61.06444449844378,82.57246071255754,0.44681212351119703,11315814140.596811,14.107464240680548,0.1702819956616052,142.89491746025487,-50.4909426418244
Ridge — Temporal | alpha=1000,58.0,62.0508773800852,83.69471730961395,0.43167299441473983,13196208014.954967,14.23018457628133,0.16404555314533623,140.89491746025487,-52.14612212970465
Ridge — Temporal | alpha=1000,60.0,63.05667490093292,84.83652294230703,0.41606041007229644,15389613397.260477,14.330315549287112,0.1564533622559653,138.89491746025487,-53.79164244628858
Ridge — Temporal | alpha=1000,62.0,64.07839758399416,85.9966561071261,0.39998055002350086,17948036432.694084,14.425260195951235,0.1504880694143167,136.89491746025487,-55.428373457588826
Ridge — Temporal | alpha=1000,64.0,65.11628345885131,87.17396726900309,0.38343932455601826,20932141776.743977,14.512195839916172,0.1442516268980477,134.89491746025487,-57.057177657447085
Ridge — Temporal | alpha=1000,66.0,66.17161823568374,88.36778773722378,0.3664364771893962,24412691482.707573,14.578517490111242,0.13828633405639915,132.89491746025487,-58.677096211228
Ridge — Temporal | alpha=1000,68.0,67.25118815853402,89.57791040156167,0.3489654239228309,28472222123.402637,14.643223066896963,0.12825379609544468,130.89491746025487,-60.29005279229419
Ridge — Temporal | alpha=1000,70.0,68.36308727550505,90.80258105040377,0.3310424086514472,33207002030.411995,14.702863766196367,0.11686550976138829,128.89491746025487,-61.894063080132334
Ridge — Temporal | alpha=1000,72.0,69.50983465281578,92.04140311192887,0.31266468120257507,38729314053.959564,14.754007774117696,0.10818872017353579,126.89491746025487,-63.49019534113386
Ridge — Temporal | alpha=1000,74.0,70.67706654526698,93.29089378318652,0.29387643140190534,45170117451.03955,14.792368315608362,0.10113882863340563,124.89491746025487,-65.07516894055676
Ridge — Temporal | alpha=1000,76.0,71.86494941687876,94.55138922415891,0.2746660124299708,52682155185.947105,14.824544541994136,0.09354663774403471,122.89491746025487,-66.65021138537784
Ridge — Temporal | alpha=1000,78.0,73.0615214513734,95.81962981708904,0.2550773544313101,61443575876.92708,14.854652068875858,0.08703904555314533,120.89491746025487,-68.21110903065954
Ridge — Temporal | alpha=1000,80.0,74.27090905948735,97.0948188919462,0.23511822754833067,71662154943.80324,14.87863773701618,0.08107375271149675,118.89491746025487,-69.75857394344982
